date,nav
2020-03-24,9.49
2020-03-25,9.61
2020-03-26,9.66
2020-03-27,9.58
2020-03-30,9.58
2020-03-31,9.34
2020-04-01,8.97
2020-04-02,8.76
2020-04-03,8.64
2020-04-06,8.98
2020-04-07,9.54
2020-04-08,9.12
2020-04-09,9.42
2020-04-14,9.38
2020-04-15,9.12
2020-04-16,8.96
2020-04-17,9.18
2020-04-20,9.29
2020-04-21,9.1
2020-04-22,8.93
2020-04-23,9.2
2020-04-24,9.15
2020-04-27,9.45
2020-04-28,9.57
2020-04-30,9.67
2020-05-07,9.31
2020-05-08,9.57
2020-05-11,9.87
2020-05-12,9.69
2020-05-13,9.66
2020-05-14,9.26
2020-05-15,9.43
2020-05-18,9.59
2020-05-19,9.82
2020-05-20,9.93
2020-05-22,9.67
2020-05-25,9.91
2020-05-26,10.24
2020-05-27,10.54
2020-05-28,10.87
2020-05-29,10.5
2020-06-02,10.72
2020-06-03,10.92
2020-06-04,10.92
2020-06-05,11.35
2020-06-08,11.57
2020-06-09,11.28
2020-06-10,11.23
2020-06-11,10.69
2020-06-12,10.62
2020-06-15,10.4
2020-06-16,10.95
2020-06-17,10.82
2020-06-18,10.73
2020-06-19,10.62
2020-06-22,10.62
2020-06-24,10.46
2020-06-25,10.22
2020-06-26,10.28
2020-06-29,9.98
2020-06-30,10.14
2020-07-01,10.0
2020-07-02,10.2
2020-07-03,10.05
2020-07-06,10.32
2020-07-07,10.23
2020-07-08,10.14
2020-07-09,10.04
2020-07-10,9.82
2020-07-13,10.23
2020-07-14,10.21
2020-07-15,10.41
2020-07-16,10.52
2020-07-17,10.38
2020-07-20,10.37
2020-07-21,10.29
2020-07-22,10.3
2020-07-27,10.27
2020-07-28,10.14
2020-07-29,9.92
2020-07-30,9.63
2020-07-31,9.47
2020-08-03,9.55
2020-08-04,9.9
2020-08-05,9.92
2020-08-06,9.88
2020-08-07,9.84
2020-08-11,10.36
2020-08-12,10.66
2020-08-13,10.54
2020-08-14,10.52
2020-08-17,10.45
2020-08-18,10.34
2020-08-19,10.4
2020-08-20,10.34
2020-08-21,10.39
2020-08-24,10.33
2020-08-25,10.61
2020-08-26,10.62
2020-08-27,10.49
2020-08-28,10.56
2020-08-31,10.65
2020-09-01,10.59
2020-09-02,10.55
2020-09-03,10.62
2020-09-04,10.64
2020-09-07,10.71
2020-09-08,10.66
2020-09-09,10.71
2020-09-10,10.95
2020-09-11,11.0
2020-09-14,11.09
2020-09-15,11.0
2020-09-16,10.85
2020-09-17,10.75
2020-09-18,10.82
2020-09-23,10.67
2020-09-24,10.49
2020-09-25,10.53
2020-09-28,10.73
2020-09-29,10.76
2020-09-30,10.56
2020-10-02,10.4
2020-10-05,10.7
2020-10-06,10.84
2020-10-07,10.87
2020-10-08,10.88
2020-10-09,10.79
2020-10-12,10.72
2020-10-13,10.77
2020-10-14,10.6
2020-10-15,10.59
2020-10-16,10.55
2020-10-19,10.72
2020-10-20,10.59
2020-10-21,10.8
2020-10-22,10.72
2020-10-23,10.87
2020-10-26,10.86
2020-10-27,10.73
2020-10-28,10.3
2020-10-29,10.5
2020-10-30,10.31
2020-11-02,10.62
2020-11-04,10.73
2020-11-05,10.61
2020-11-06,10.76
2020-11-09,11.16
2020-11-10,11.62
2020-11-11,11.78
2020-11-12,11.4
2020-11-13,11.24
2020-11-16,11.54
2020-11-17,11.7
2020-11-18,11.5
2020-11-19,11.45
2020-11-20,11.48
2020-11-24,11.87
2020-11-25,11.86
2020-11-26,11.82
2020-11-27,11.81
2020-11-30,11.47
2020-12-01,11.66
2020-12-02,11.89
2020-12-03,11.93
2020-12-04,12.04
2020-12-07,11.91
2020-12-08,11.87
2020-12-09,12.05
2020-12-10,11.98
2020-12-11,11.97
2020-12-14,12.12
2020-12-15,12.08
2020-12-16,12.22
2020-12-17,12.11
2020-12-18,12.25
2020-12-21,12.02
2020-12-22,11.97
2020-12-23,11.83
2020-12-28,12.07
2020-12-29,12.3
2020-12-30,12.19
2021-01-04,12.08
2021-01-05,12.1
2021-01-06,12.43
2021-01-07,12.68
2021-01-08,12.82
2021-01-12,12.87
2021-01-13,12.94
2021-01-14,13.09
2021-01-15,12.88
2021-01-18,12.69
2021-01-19,12.78
2021-01-20,12.82
2021-01-21,12.89
2021-01-22,12.86
2021-01-25,12.87
2021-01-26,12.85
2021-01-27,12.66
2021-01-28,12.86
2021-01-29,12.82
2021-02-01,12.81
2021-02-02,12.97
2021-02-03,13.27
2021-02-05,13.69
2021-02-08,14.03
2021-02-09,13.91
2021-02-10,14.07
2021-02-12,14.06
2021-02-15,14.14
2021-02-16,14.25
2021-02-17,14.42
2021-02-18,14.02
2021-02-19,14.15
2021-02-22,14.21
2021-02-24,14.25
2021-02-25,14.49
2021-02-26,14.22
2021-03-01,14.33
2021-03-02,14.26
2021-03-03,14.61
2021-03-04,14.68
2021-03-05,14.92
2021-03-08,14.97
2021-03-09,15.23
2021-03-10,15.22
